衡量行业,颜色,市场,ETF代码,ETF名称,分类依据
新能源,#16A34A,SZ,159609,光伏ETF浦银,名称关键词
新能源,#16A34A,SZ,159618,光伏ETF华安,名称关键词
新能源,#16A34A,SZ,159637,新能源车ETF东财,名称关键词
新能源,#16A34A,SZ,159752,新能源ETF申万菱信,名称关键词
新能源,#16A34A,SZ,159755,电池ETF广发,名称关键词
新能源,#16A34A,SZ,159757,电池ETF景顺,名称关键词
新能源,#16A34A,SZ,159767,电池龙头ETF兴银,名称关键词
新能源,#16A34A,SZ,159775,电池ETF建信,名称关键词
新能源,#16A34A,SZ,159796,电池ETF汇添富,名称关键词
新能源,#16A34A,SZ,159806,新能源车ETF国泰,名称关键词
新能源,#16A34A,SZ,159824,新能源车ETF博时,名称关键词
新能源,#16A34A,SZ,159840,锂电池ETF工银,名称关键词
新能源,#16A34A,SZ,159857,光伏ETF天弘,名称关键词
新能源,#16A34A,SZ,159863,光伏ETF鹏华,名称关键词
新能源,#16A34A,SZ,159864,光伏ETF国泰,名称关键词
新能源,#16A34A,SZ,159875,新能源ETF嘉实,名称关键词
汽车,#0891B2,SH,515250,智能汽车,名称关键词
汽车,#0891B2,SH,516110,汽车ETF,名称关键词
汽车,#0891B2,SH,516590,电动汽车,名称关键词
汽车,#0891B2,SH,516660,新能汽车,名称关键词
汽车,#0891B2,SH,516840,汽车基金,名称关键词
汽车,#0891B2,SH,520720,香港汽车,名称关键词
汽车,#0891B2,SH,520730,汽车WJ,名称关键词
汽车,#0891B2,SH,562700,汽车零件,名称关键词
汽车,#0891B2,SZ,159306,汽车零部件ETF平安,名称关键词
汽车,#0891B2,SZ,159512,汽车ETF广发,名称关键词
汽车,#0891B2,SZ,159565,汽车零部件ETF易方达,名称关键词
汽车,#0891B2,SZ,159720,智能车ETF泰康,名称关键词
汽车,#0891B2,SZ,159795,智能汽车ETF汇添富,名称关键词
汽车,#0891B2,SZ,159872,智能网联汽车ETF鹏华,名称关键词
汽车,#0891B2,SZ,159888,智能汽车ETF华夏,名称关键词
汽车,#0891B2,SZ,159889,智能汽车ETF国泰,名称关键词
消费,#EA580C,SH,510150,消费ETF,名称关键词
消费,#EA580C,SH,510630,消费30,名称关键词
消费,#EA580C,SH,512430,家电家居,名称关键词
消费,#EA580C,SH,512450,广发养殖,名称关键词
消费,#EA580C,SH,512600,必选消费,名称关键词
消费,#EA580C,SH,512690,酒ETF,人工映射
消费,#EA580C,SH,513070,HK消费50,名称关键词
消费,#EA580C,SH,513590,香港消费,名称关键词
消费,#EA580C,SH,515170,食品饮料,名称关键词
消费,#EA580C,SH,515640,家电指数,名称关键词
消费,#EA580C,SH,515650,消费50,名称关键词
消费,#EA580C,SH,515710,食品ETF,名称关键词
消费,#EA580C,SH,515730,家居家电,名称关键词
消费,#EA580C,SH,515840,食品南方,名称关键词
消费,#EA580C,SH,515920,智能消费,名称关键词
消费,#EA580C,SH,516130,消费龙头,名称关键词
消费,#EA580C,SH,516670,畜牧养殖,名称关键词
消费,#EA580C,SH,516760,养殖ETF,名称关键词
消费,#EA580C,SH,516900,食品50,名称关键词
消费,#EA580C,SH,517550,消费主题,名称关键词
消费,#EA580C,SH,517760,消费TOP,名称关键词
消费,#EA580C,SH,517880,品牌消费,名称关键词
消费,#EA580C,SH,520520,HK消费,名称关键词
消费,#EA580C,SH,560130,食品基金,名称关键词
消费,#EA580C,SH,560160,食品E,名称关键词
消费,#EA580C,SH,560320,食品富国,名称关键词
消费,#EA580C,SH,560420,食品Q,名称关键词
消费,#EA580C,SH,560680,龙头消费,名称关键词
消费,#EA580C,SH,560880,家电基金,名称关键词
消费,#EA580C,SH,561020,食品招商,名称关键词
消费,#EA580C,SH,561120,家电ETF,名称关键词
消费,#EA580C,SH,561400,鑫元养殖,名称关键词
消费,#EA580C,SH,562510,旅游ETF,名称关键词
消费,#EA580C,SH,562580,可选消费,名称关键词
