market,code,name,industry,plot_industry,classification_rule
SH,510560,国寿500,,待人工确认,名称关键词
SH,520760,港股生物,,港股/海外,固定类别/排除词
SH,520750,HK信息,,待人工确认,名称关键词
SH,520740,互联香港,,待人工确认,名称关键词
SH,520730,汽车WJ,,汽车,名称关键词
SH,520720,香港汽车,,汽车,名称关键词
SZ,159936,可选消费ETF广发,,消费,名称关键词
SH,520710,信息港股,,港股/海外,固定类别/排除词
SH,520700,创新药WJ,,医药医疗,名称关键词
SH,520690,恒生港药,,港股/海外,固定类别/排除词
SH,520820,恒指通,,待人工确认,名称关键词
SH,560280,工程机械,,高端制造,名称关键词
SH,515790,光伏ETF,新能源,新能源,人工映射
SH,515760,浙江国资,,待人工确认,名称关键词
SH,512700,银行基金,,金融,名称关键词
SZ,159976,湾创ETF工银,,待人工确认,名称关键词
SH,512690,酒ETF,消费,消费,人工映射
SH,512680,军工基金,,军工,名称关键词
SH,512670,国防ETF,,军工,名称关键词
SH,512660,军工ETF,军工,军工,人工映射
SH,512650,长三角,,区域主题,固定类别/排除词
SH,512640,金融地产,,金融,名称关键词
SH,512630,卫星基金,,待人工确认,名称关键词
SH,512620,农业TH,,农业,名称关键词
SH,512600,必选消费,,消费,名称关键词
SZ,159977,创业板ETF天弘,,宽基/综合指数,宽基关键词/人工映射
SH,512580,环保ETF,,公用事业,名称关键词
SH,512570,中证证券,,金融,名称关键词
SH,510720,红利国泰,,策略类,固定类别/排除词
SH,512560,中证军工,,军工,名称关键词
SH,512550,A50基金,,宽基/综合指数,宽基关键词/人工映射
SH,512530,300红利,,策略类,固定类别/排除词
SH,512520,MSCIETF,,港股/海外,固定类别/排除词
SH,512510,ETF500,,待人工确认,名称关键词
SH,512500,中证500,,宽基/综合指数,宽基关键词/人工映射
SH,512480,半导体,科技,科技,人工映射
SH,512460,电池主题,,新能源,名称关键词
SZ,159980,有色ETF大成,,资源周期,名称关键词
SH,512450,广发养殖,,消费,名称关键词
SH,512430,家电家居,,消费,名称关键词
SH,512420,机械华安,,高端制造,名称关键词
SH,512410,银行广发,,金融,名称关键词
SH,512400,有色ETF,,资源周期,名称关键词
SH,512710,军工龙头,,军工,名称关键词
SH,512720,计算机,,科技,名称关键词
SH,512730,银行FUND,,金融,名称关键词
SH,512750,基本面50,,待人工确认,名称关键词
SH,513080,法国ETF,,港股/海外,固定类别/排除词
SZ,159973,民企ETF弘毅远方,,待人工确认,名称关键词
SH,513070,HK消费50,,消费,名称关键词
SH,513060,恒生医疗,,港股/海外,固定类别/排除词
SH,513050,中概互联,,待人工确认,名称关键词
SH,513040,HK互联网,,科技,名称关键词
SH,513030,德国ETF,,港股/海外,固定类别/排除词
SH,513020,科技HK,,待人工确认,名称关键词
SH,513010,港股科技,,港股/海外,固定类别/排除词
SH,513000,225ETF,,待人工确认,名称关键词
SH,512990,MSCIA股,,港股/海外,固定类别/排除词
SH,512980,传媒ETF,,科技,名称关键词
SZ,159974,央企创新ETF富国,,区域主题,固定类别/排除词
SH,512970,湾区ETF,,待人工确认,名称关键词
SH,512390,MSCI低波,,港股/海外,固定类别/排除词
SH,512960,央调ETF,,待人工确认,名称关键词
SH,512940,有色矿业,,资源周期,名称关键词
SH,510710,上50ETF,,待人工确认,名称关键词
SH,512930,AIETF,,科技,名称关键词
SH,512910,100ETF,,待人工确认,名称关键词
SH,512900,证券基金,,金融,名称关键词
SH,512890,红利低波,,策略类,固定类别/排除词
SH,512880,证券ETF,金融,金融,人工映射
SH,512870,杭州湾区,,待人工确认,名称关键词
SZ,159975,深100ETF招商,,待人工确认,名称关键词
SH,512820,银行股基,,金融,名称关键词
SH,512810,国防军工,,军工,名称关键词
SH,512800,银行ETF,金融,金融,人工映射
SH,512770,战略新兴,,待人工确认,名称关键词
SH,512760,芯片ETF,,科技,名称关键词
SH,512950,央企改革,,区域主题,固定类别/排除词
SH,512380,MSCI中国,,港股/海外,固定类别/排除词
SH,512370,A500增指,,宽基/综合指数,宽基关键词/人工映射
SH,512360,MSCI国际,,港股/海外,固定类别/排除词
SH,511270,10年地债,,债券/货币,固定类别/排除词
SH,511260,十年国债,,债券/货币,固定类别/排除词
SH,511220,城投ETF,,待人工确认,名称关键词
SH,511200,信用债基,,债券/货币,固定类别/排除词
SH,511190,信用债,,债券/货币,固定类别/排除词
SH,511180,上证转债,,债券/货币,固定类别/排除词
SZ,159991,创业板大盘ETF招商,,宽基/综合指数,宽基关键词/人工映射
SH,511160,国债东财,,债券/货币,固定类别/排除词
SH,510770,G60创新,,待人工确认,名称关键词
SH,511150,科债永赢,,债券/货币,固定类别/排除词
SH,511130,国债30年,,债券/货币,固定类别/排除词
SH,511120,科创债基,,债券/货币,固定类别/排除词
SH,511110,公司债易,,债券/货币,固定类别/排除词
SH,511100,基准国债,,债券/货币,固定类别/排除词
SH,511360,短融ETF,,待人工确认,名称关键词
SH,511090,30年国债,,债券/货币,固定类别/排除词
SH,511060,5年地债,,债券/货币,固定类别/排除词
SH,511030,公司债,,债券/货币,固定类别/排除词
SZ,159992,创新药ETF银华,,医药医疗,名称关键词
SH,511020,活跃国债,,债券/货币,固定类别/排除词
SH,511010,国债ETF,,债券/货币,固定类别/排除词
SH,510990,ESG180,,待人工确认,名称关键词
SH,510980,上证综合,,待人工确认,名称关键词
SH,510950,上证广发,,待人工确认,名称关键词
SH,510910,上证指CS,,待人工确认,名称关键词
SH,510900,恒生中国,,港股/海外,固定类别/排除词
SH,510880,红利ETF,红利策略,策略类,固定类别/排除词
SH,510850,工银上50,,待人工确认,名称关键词
SH,510810,上海国企,,待人工确认,名称关键词
SZ,159993,证券ETF鹏华,,金融,名称关键词
SH,511070,沪公司债,,债券/货币,固定类别/排除词
